outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,vaccinated_with_outcome,fully_vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_vax_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
case,09 - SEP,202138,18-49,all_types,125,293173,43186,44410302,143951,33401904,42.63694133,97.24320272,430.9664503,10.10781817,4.431841386,,,,,,1
case,09 - SEP,202139,18-49,all_types,132,357373,41575,45253261,122975,32777619,36.93619831,91.87183218,375.1797835,10.15750945,4.083730286,,,,,,1
case,10 - OCT,202140,18-49,all_types,176,425455,39684,46020014,108940,32230135,41.36747717,86.23204678,338.0066512,8.17083067,3.919733601,,,,,,1
case,10 - OCT,202141,18-49,all_types,183,666662,36089,46487554,93360,31729403,27.45019215,77.63153123,294.2381235,10.71898229,3.790188328,,,,,,1
case,10 - OCT,202142,18-49,all_types,214,1000274,34469,46789795,85111,31275174,21.39413801,73.66777307,272.135976,12.72011875,3.694098038,,,,,,1
case,10 - OCT,202143,18-49,all_types,402,1333486,37675,47008246,87788,30822982,30.14654822,80.14551319,284.8134551,9.447630721,3.553704303,,,,,,1
case,11 - NOV,202144,18-49,all_types,648,1687746,44975,47161914,91671,30364617,38.39440295,95.36296597,301.9007287,7.863144249,3.165806827,,,,,,1
case,11 - NOV,202145,18-49,all_types,776,2324642,49072,47029781,99400,29890353,33.38148412,104.3423953,332.5487658,9.962072527,3.187091545,,,,,,1
case,11 - NOV,202146,18-49,all_types,1232,3150115,52787,46698693,104944,29376798,39.1096833,113.0374248,357.2343044,9.134165105,3.16031885,,,,,,1
case,11 - NOV,202147,18-49,all_types,1452,4092235,47513,46203554,90505,28881396,35.48183328,102.8340807,313.3678164,8.831781999,3.047314804,,,,,,1
case,12 - DEC,202148,18-49,all_types,2546,5239069,72214,45498736,137216,28380240,48.59642047,158.7164971,483.4913306,9.949114069,3.046257569,,,,,,1
case,12 - DEC,202149,18-49,all_types,3371,6565427,66097,44568384,124233,27831008,51.34471833,148.3046816,446.3834008,8.693852365,3.009907684,,,,,,1
case,12 - DEC,202150,18-49,all_types,14132,7948168,132447,43647505,175892,27226982,177.801979,303.4468981,646.0209215,3.633373065,2.128942249,,,,,,1
case,12 - DEC,202151,18-49,all_types,41483,9778626,290425,42330303,321746,26568062,424.2211534,686.0924194,1211.025479,2.854703187,1.765105464,,,,,,1
case,12 - DEC,202152,18-49,all_types,96777,11554548,592969,41029043,675540,25992429,837.5662986,1445.242094,2598.987574,3.103023103,1.798306032,,,,,,1
case,01 - JAN,202201,18-49,all_types,170408,13351194,743749,39665095,862750,25417374,1276.350265,1875.071773,3394.331767,2.659404601,1.810240982,,,,,,1
case,01 - JAN,202202,18-49,all_types,145237,14718008,520853,38697143,664404,24781640,986.7979417,1345.97275,2681.033217,2.716901914,1.991892641,,,,,,1
case,01 - JAN,202203,18-49,all_types,118955,15751242,335160,36780974,461008,23583336,755.2102875,911.2319864,1954.804019,2.588423452,2.145232003,,,,,,1
